segment_id,start_sec,end_sec,timestamp,reasons,low_confidence_words,average_word_probability,minimum_word_probability,text
1,0.68,6.12,00:00:00.680 --> 00:00:06.120,低信心詞 2 個：大家、工,大家、工,0.8838,0.1532,"大家午安,歡迎參加信輝藥品工業股份有限公司法人說明會"
4,10.36,13.26,00:00:10.360 --> 00:00:13.260,低信心詞 1 個：行,行,0.9003,0.4422,為各位說明公司的進行營運與展望
5,13.26,16.08,00:00:13.260 --> 00:00:16.080,低信心詞 1 個：現在,現在,0.9388,0.3972,"現在我們就把時間交給陳副總,副總請"
8,23.84,26.62,00:00:23.840 --> 00:00:26.620,低信心詞 1 個：一個,一個,0.9303,0.4641,那今天由我來向各位進行一個報告
9,27.04,28.86,00:00:27.040 --> 00:00:28.860,低信心詞 1 個：那,那,0.8594,0.3543,那在正式的報告之前
10,29.44,32.56,00:00:29.440 --> 00:00:32.560,低信心詞 1 個：先,先,0.9269,0.484,先請各位看一下簡報的第二頁
13,38.0,42.04,00:00:38.000 --> 00:00:42.040,低信心詞 1 個：軍,軍,0.9356,0.3516,軍售、產業法規還有未來市場的不確定性因素影響
19,54.92,56.58,00:00:54.920 --> 00:00:56.580,低信心詞 1 個：第二個,第二個,0.841,0.3751,第二個呢是財報
20,57.3,58.22,00:00:57.300 --> 00:00:58.220,低信心詞 1 個：呢,呢,0.6091,0.1943,第三部分呢
21,58.22,61.6,00:00:58.220 --> 00:01:01.600,低信心詞 1 個：則,則,0.8885,0.0191,則是關於永續發展跟社會關懷的具體事件
22,63.64,67.62,00:01:03.640 --> 00:01:07.620,低信心詞 1 個：信,信,0.8996,0.3303,那信輝從1977年於宜蘭創立以來
24,68.94,71.22,00:01:08.940 --> 00:01:11.220,低信心詞 1 個：我們,我們,0.8899,0.1929,那集團橫跨我們公司信輝
25,71.22,73.22,00:01:11.220 --> 00:01:13.220,低信心詞 1 個：新,新,0.8632,0.4705,專注研發的信國新藥
26,73.62,77.16,00:01:13.620 --> 00:01:17.160,低信心詞 2 個：深、功,深、功,0.8479,0.267,深耕天然質體的功能性原料的信輝天力
31,84.28,86.6,00:01:24.280 --> 00:01:26.600,低信心詞 1 個：的,的,0.9038,0.386,並且在台灣、加拿大跟大陸的
32,86.62,87.8,00:01:26.620 --> 00:01:27.800,低信心詞 1 個：都有,都有,0.8464,0.313,都有經營的公司
33,88.18,89.9,00:01:28.180 --> 00:01:29.900,低信心詞 1 個：集,集,0.8056,0.4252,那集團內所有的公司呢
36,94.86,98.54,00:01:34.860 --> 00:01:38.540,低信心詞 2 個：治、質,治、質,0.8515,0.2982,包含了我們抗癌治劑、天然質體、醫療器材製造
38,99.32,101.16,00:01:39.320 --> 00:01:41.160,低信心詞 1 個：那我們,那我們,0.8625,0.1902,那我們進行資源的共享
44,116.82,119.18,00:01:56.820 --> 00:01:59.180,低信心詞 1 個：那我們,那我們,0.8088,0.049,那我們做到廣發肉蟲的源頭管理
45,119.18,121.34,00:01:59.180 --> 00:02:01.340,低信心詞 1 個：信,信,0.8105,0.417,然後再到我們信輝、天立、杭州
48,128.04,129.06,00:02:08.040 --> 00:02:09.060,低信心詞 1 個：呢,呢,0.832,0.4822,也讓我們呢
50,132.28,136.44,00:02:12.280 --> 00:02:16.440,低信心詞 2 個：的、富,的、富,0.8381,0.107,建立了比較高的一個競爭壁壘的富城河
52,141.96,143.44,00:02:21.960 --> 00:02:23.440,低信心詞 1 個：引,引,0.813,0.4,引發剛性需求
56,150.52,152.74,00:02:30.520 --> 00:02:32.740,低信心詞 1 個：呢,呢,0.9143,0.4146,在恢復健康方面的藥品呢
58,154.62,156.96,00:02:34.620 --> 00:02:36.960,低信心詞 1 個：許,許,0.8837,0.1943,陸續取得四項藥品許可證
59,157.62,162.7,00:02:37.620 --> 00:02:42.700,低信心詞 1 個：那,那,0.9277,0.0483,那涵蓋高血脂、消化道及皮膚治療等核心領域
63,168.64,171.38,00:02:48.640 --> 00:02:51.380,低信心詞 1 個：那,那,0.8881,0.2985,那包含腸道與助眠健康
66,176.62,180.28,00:02:56.620 --> 00:03:00.280,低信心詞 2 個：救、血,救、血,0.7936,0.0892,補鈣、抗氧化、解救護肝、血脂調節
67,181.02,183.82,00:03:01.020 --> 00:03:03.820,低信心詞 1 個：的,的,0.8899,0.3777,及內皮功能改善等全方位的保健
68,183.82,186.18,00:03:03.820 --> 00:03:06.180,低信心詞 1 個：那,那,0.8171,0.0706,那接下來就是我們的美麗健康
69,186.96,188.22,00:03:06.960 --> 00:03:08.220,低信心詞 1 個：就是,就是,0.8082,0.0949,就是醫美的保養品
70,188.22,191.28,00:03:08.220 --> 00:03:11.280,低信心詞 1 個：六,六,0.8365,0.4898,那在2026年呢有上市六項新品
71,191.28,194.3,00:03:11.280 --> 00:03:14.300,低信心詞 3 個：那、亞、利,那、亞、利,0.7993,0.2055,那包括生活市場好評的亞佛利露
72,194.3,198.66,00:03:14.300 --> 00:03:18.660,低信心詞 1 個：Pro,Pro,0.857,0.4003,還有專注科研修護的SkinPro激發者的部分
73,198.66,202.28,00:03:18.660 --> 00:03:22.280,低信心詞 1 個：那,那,0.9362,0.453,那規劃在2027年陸續上市的有九項產品
74,203.14,205.6,00:03:23.140 --> 00:03:25.600,低信心詞 1 個：對,對,0.8723,0.3779,那稍後會進行一個相對的介紹
75,205.6,206.0,00:03:25.600 --> 00:03:26.000,低信心詞 1 個：那,那,0.4377,0.4377,那
76,206.9,208.82,00:03:26.900 --> 00:03:28.820,低信心詞 1 個：容易,容易,0.7718,0.3799,接下來這邊是我們容易劑的部分
77,208.82,213.38,00:03:28.820 --> 00:03:33.380,低信心詞 1 個：那,那,0.9206,0.2222,那這是我們全台唯一兼具國家生技醫療品質獎
85,240.72,244.32,00:04:00.720 --> 00:04:04.320,低信心詞 1 個：有,有,0.929,0.4372,有效延緩重度患者的認知退化
86,244.32,247.84,00:04:04.320 --> 00:04:07.840,低信心詞 2 個：那、也,那、也,0.8538,0.0652,那信輝醫藥集團也持續在這領域的研究
87,247.84,252.48,00:04:07.840 --> 00:04:12.480,低信心詞 1 個：Open,Open,0.857,0.4314,所以在今年國際期刊Open Access Library Journal
89,256.02,258.7,00:04:16.020 --> 00:04:18.700,低信心詞 1 個：那,那,0.8941,0.1317,那針對85名健康受試者
91,265.82,272.78,00:04:25.820 --> 00:04:32.780,低信心詞 2 個：那、並,那、並,0.8925,0.0661,那有效抑制其他的衰退的因子並提升腦神經滋養因子
94,280.0,284.74,00:04:40.000 --> 00:04:44.740,低信心詞 1 個：2,2,0.9276,0.4608,AIE2對健康成人也具有提升學習記憶能力的潛力
95,286.0,290.28,00:04:46.000 --> 00:04:50.280,低信心詞 1 個：大的,大的,0.8709,0.4446,那下一個也是我們另外一個強大的一個產品
96,290.28,291.64,00:04:50.280 --> 00:04:51.640,低信心詞 2 個：那、信,那、信,0.6601,0.2804,那是我們的信輝佛心
98,293.76,297.48,00:04:53.760 --> 00:04:57.480,低信心詞 2 個：國家、還有,國家、還有,0.8518,0.2066,國家抗疲勞健康食品認證還有多國的專利
99,297.48,301.02,00:04:57.480 --> 00:05:01.020,低信心詞 1 個：那我們,那我們,0.9439,0.45,那我們最新發表國際期刊的研究也證實
101,302.96,307.44,00:05:02.960 --> 00:05:07.440,低信心詞 1 個：Q,Q,0.8663,0.2281,也就是天然松果橘乾還有活性型的Q10 QH
102,307.44,309.84,00:05:07.440 --> 00:05:09.840,低信心詞 1 個：那,那,0.8812,0.3659,那具有顯著的協同效益
107,321.54,325.14,00:05:21.540 --> 00:05:25.140,低信心詞 5 個：那、呢、也、上、百,那、呢、也、上、百,0.6773,0.0132,那肌力呢也提上升了百分之十二
108,325.66,327.84,00:05:25.660 --> 00:05:27.840,低信心詞 1 個：然後,然後,0.8736,0.439,然後呢也可以有效的解決
109,327.84,332.08,00:05:27.840 --> 00:05:32.080,低信心詞 2 個：現、及,現、及,0.903,0.4606,現代人運動族群心臟及體力能量不足的一個問題
111,335.06,339.38,00:05:35.060 --> 00:05:39.380,低信心詞 3 個：美、長、信,美、長、信,0.785,0.1104,從美金門海上長友還有我們自己的信輝宜蘭馬拉松
112,339.38,343.46,00:05:39.380 --> 00:05:43.460,低信心詞 2 個：跑、機,跑、機,0.8771,0.1989,跑著指定維持心臟機能與體力的最佳後盾
113,344.66,347.6,00:05:44.660 --> 00:05:47.600,低信心詞 2 個：影、評,影、評,0.8091,0.2364,那這邊是我們的化妝影評的部分
114,347.6,350.42,00:05:47.600 --> 00:05:50.420,低信心詞 2 個：那、影片,那、影片,0.8454,0.4287,那當然在頭影片上面可以看得出白色的字
116,351.36,352.54,00:05:51.360 --> 00:05:52.540,低信心詞 1 個：但是,但是,0.794,0.2342,但是不是很清楚
117,352.54,354.82,00:05:52.540 --> 00:05:54.820,低信心詞 1 個：那,那,0.8817,0.144,那後續的檔案大家可以自己看
119,356.92,358.3,00:05:56.920 --> 00:05:58.300,低信心詞 1 個：化,化,0.8397,0.4158,化妝品其實簡單的說
123,363.24,366.52,00:06:03.240 --> 00:06:06.520,低信心詞 1 個：那,那,0.9348,0.3448,那如果傳統藥廠的化妝品來說
125,369.64,370.62,00:06:09.640 --> 00:06:10.620,低信心詞 1 個：呢,呢,0.8495,0.4299,我們的特色呢
130,378.58,380.4,00:06:18.580 --> 00:06:20.400,低信心詞 3 個：那、會、有,那、會、有,0.7164,0.1157,那畢竟大品牌也會有
132,383.96,384.94,00:06:23.960 --> 00:06:24.940,低信心詞 1 個：那,那,0.7912,0.4124,那這一頁
135,391.7,395.1,00:06:31.700 --> 00:06:35.100,低信心詞 2 個：的、配,的、配,0.8146,0.0579,我們今年大概估計會有超過兩萬人的配方
136,395.1,397.88,00:06:35.100 --> 00:06:37.880,低信心詞 1 個：部,部,0.8375,0.2467,那所有的部品其實都是買的
139,400.88,402.54,00:06:40.880 --> 00:06:42.540,低信心詞 1 個：呢,呢,0.8432,0.1707,我們在明年的預計呢
